trans_date_trans_time,merchant,category,amt,gender,state,job,is_fraud
2/24/19 14:01,fraud_Rau-Grant,kids_pets,13.44,M,TX,Futures trader,0
2/11/19 22:56,fraud_Treutel-King,travel,9.6,F,OH,Research scientist (medical),0
2/10/19 13:16,"fraud_McDermott, Osinski and Morar",home,71.83,M,OH,Exhibition designer,0
1/27/19 6:41,"fraud_Labadie, Treutel and Bode",shopping_net,7.91,M,CA,Learning mentor,0
1/1/19 7:38,fraud_Mraz-Herzog,gas_transport,63.54,F,VA,"Engineer, mining",0
1/19/19 22:30,fraud_Kris-Weimann,misc_net,792.26,F,ND,Illustrator,1
1/7/19 10:10,fraud_Kuvalis Ltd,gas_transport,53.65,M,KY,Surgeon,0
2/19/19 21:32,fraud_Hickle Group,shopping_pos,4.15,F,NE,Insurance broker,0
2/21/19 14:30,"fraud_Schmeler, Bashirian and Price",shopping_net,1031.32,M,IL,Trade mark attorney,1
1/26/19 4:33,fraud_Stracke-Lemke,grocery_pos,75.0,M,MI,Police officer,0
1/25/19 9:16,"fraud_Lind, Huel and McClure",gas_transport,54.45,F,WA,Medical technical officer,0
1/12/19 17:33,"fraud_Welch, Rath and Koepp",entertainment,7.99,M,WI,Public relations officer,0
2/16/19 16:02,fraud_Homenick LLC,personal_care,77.0,M,CA,Immigration officer,0
1/21/19 13:21,"fraud_Roberts, Daniel and Macejkovic",kids_pets,108.23,F,KY,"Education officer, museum",0
2/12/19 12:25,fraud_Weber and Sons,food_dining,7.01,M,NE,"Surveyor, land/geomatics",0
1/31/19 10:40,"fraud_Haley, Jewess and Bechtelar",shopping_pos,398.18,M,MI,Furniture designer,0
1/15/19 16:46,"fraud_Runte, Green and Emard",health_fitness,17.8,F,MI,Geophysicist/field seismologist,0
1/3/19 16:40,fraud_Ratke and Sons,health_fitness,22.82,M,MA,Market researcher,0
1/30/19 2:51,"fraud_Tillman, Fritsch and Schmitt",misc_net,857.67,F,MO,Electronics engineer,1
1/21/19 17:03,fraud_Schmidt-Larkin,home,15.33,F,NC,English as a second language teacher,0
1/20/19 3:05,fraud_Stamm-Rodriguez,misc_pos,1.41,F,VA,Equality and diversity officer,0
2/12/19 2:08,"fraud_Schaefer, Maggio and Daugherty",gas_transport,10.3,F,IL,Trading standards officer,1
1/28/19 7:42,fraud_Kuphal-Predovic,misc_net,2.47,F,CA,Occupational psychologist,0
2/16/19 19:41,fraud_Wilkinson PLC,kids_pets,6.25,F,WA,"Research officer, political party",0
2/25/19 19:33,fraud_Terry Ltd,home,69.33,F,MI,"Exhibitions officer, museum/gallery",0
2/3/19 3:11,"fraud_Reichert, Rowe and Mraz",shopping_net,9.53,M,MN,Barrister's clerk,0
1/7/19 18:35,fraud_Adams-Barrows,health_fitness,22.17,F,PA,Podiatrist,0
2/19/19 9:22,fraud_Kunde-Sanford,misc_net,13.18,M,OH,"Copywriter, advertising",0
2/5/19 0:57,fraud_Kutch-Hegmann,grocery_net,48.85,F,FL,Private music teacher,0
2/3/19 17:56,fraud_Auer-West,shopping_net,116.18,F,AL,Drilling engineer,0
2/1/19 2:09,fraud_Terry-Huel,shopping_net,346.55,M,TX,Archaeologist,0
2/8/19 15:11,fraud_Gulgowski LLC,home,16.06,M,OK,Fitness centre manager,0
1/14/19 8:50,fraud_Goodwin-Nitzsche,grocery_pos,100.48,M,IL,Futures trader,0
1/29/19 21:46,fraud_Huel Ltd,misc_net,29.47,M,AR,Careers information officer,0
2/6/19 7:03,fraud_Ledner-Pfannerstill,gas_transport,67.44,F,GA,"Engineer, technical sales",0
1/9/19 10:52,"fraud_Christiansen, Goyette and Schamberger",gas_transport,43.88,M,AR,Careers information officer,0
2/21/19 0:09,fraud_Maggio-Fahey,misc_pos,4.86,M,DC,"Optician, dispensing",0
2/25/19 0:13,fraud_Bartoletti-Wunsch,gas_transport,81.65,F,WI,Logistics and distribution manager,0
1/21/19 13:43,"fraud_Roberts, Daniel and Macejkovic",kids_pets,15.05,F,FL,Television production assistant,0
1/14/19 0:27,fraud_Rau and Sons,grocery_pos,306.81,F,CA,Science writer,1
2/3/19 20:49,fraud_Conroy-Emard,food_dining,3.05,M,LA,Herbalist,0
2/13/19 16:36,fraud_Hamill-D'Amore,health_fitness,176.9,F,WA,Osteopath,0
1/21/19 17:57,fraud_Brown-Greenholt,entertainment,79.65,M,NC,Paramedic,0
1/8/19 1:25,fraud_Padberg-Welch,grocery_pos,296.32,M,AR,"Scientist, biomedical",1
1/23/19 5:02,fraud_Rau and Sons,grocery_pos,98.0,M,LA,"Accountant, chartered public finance",0
2/26/19 0:46,fraud_Cummings LLC,gas_transport,70.92,F,AZ,Petroleum engineer,0
1/30/19 3:39,fraud_Bailey-Morar,grocery_pos,87.97,M,MO,Colour technologist,0
2/11/19 14:27,fraud_Terry Ltd,home,95.46,M,KY,Facilities manager,0
1/13/19 23:17,fraud_Larson-Moen,entertainment,510.59,M,NE,"Solicitor, Scotland",1
2/20/19 9:13,fraud_Kling Inc,gas_transport,80.56,F,OH,"Engineer, biomedical",0
1/21/19 14:53,"fraud_Cronin, Kshlerin and Weber",health_fitness,23.67,M,WI,Quantity surveyor,0
1/1/19 19:04,"fraud_Conroy, Balistreri and Gorczany",health_fitness,49.75,M,UT,Location manager,0
3/1/19 4:04,fraud_Kling-Grant,grocery_net,20.22,F,TX,Building surveyor,0
1/28/19 12:09,fraud_Hackett Group,travel,95.92,F,OH,Farm manager,0
2/18/19 17:19,fraud_Larkin Ltd,kids_pets,34.57,M,WI,"Accountant, chartered public finance",0
2/11/19 2:53,fraud_Durgan-Auer,misc_net,3.48,F,PA,Transport planner,0
2/24/19 18:19,"fraud_Schneider, Hayes and Nikolaus",food_dining,79.36,F,TX,Systems developer,0
1/27/19 9:23,fraud_Schmeler Inc,misc_pos,40.61,M,NY,Clinical biochemist,0
2/14/19 0:31,fraud_O'Keefe-Hudson,grocery_pos,136.92,M,AL,"Librarian, academic",0
1/24/19 21:46,fraud_Stark-Koss,home,100.15,M,PA,Management consultant,0
2/3/19 6:51,"fraud_Schumm, Bauch and Ondricka",grocery_pos,141.34,F,MN,Applications developer,0
2/26/19 7:30,fraud_Ledner-Pfannerstill,gas_transport,72.26,F,MI,Immunologist,0
2/17/19 0:13,"fraud_Cremin, Hamill and Reichel",misc_pos,4.08,F,OK,Bookseller,0
2/3/19 3:32,fraud_DuBuque LLC,grocery_pos,256.56,F,PA,Dispensing optician,0
1/5/19 10:50,fraud_Ortiz Group,grocery_net,57.22,F,WY,"Pilot, airline",0
1/11/19 23:04,fraud_Hudson-Grady,shopping_pos,882.9,M,PA,Event organiser,1
1/6/19 15:36,fraud_Auer-West,shopping_net,9.86,F,MO,Aeronautical engineer,0
1/29/19 18:18,fraud_Schiller Ltd,personal_care,35.24,M,TX,Chief Technology Officer,0
1/5/19 19:40,fraud_Schmeler-Howe,personal_care,37.26,F,CA,"Designer, exhibition/display",0
2/10/19 13:00,fraud_Swift PLC,kids_pets,29.67,F,MI,"Exhibitions officer, museum/gallery",0
1/10/19 19:37,fraud_Morissette-Schaefer,personal_care,40.14,F,KS,Chief Executive Officer,0
1/13/19 9:19,fraud_Harris Inc,gas_transport,64.04,M,MD,Paediatric nurse,0
1/24/19 6:25,fraud_Vandervort-Funk,grocery_pos,126.1,M,KY,Facilities manager,0
2/21/19 14:32,fraud_Kuhn LLC,shopping_pos,661.69,F,NY,Herbalist,0
1/22/19 17:03,fraud_Swift PLC,kids_pets,61.87,M,FL,Teaching laboratory technician,0
1/15/19 20:55,fraud_Shields-Wunsch,health_fitness,91.91,F,PA,Physiotherapist,0
2/26/19 22:42,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,909.49,F,NY,Chief of Staff,1
1/23/19 14:07,fraud_Abernathy and Sons,food_dining,19.97,M,NC,Paramedic,0
2/2/19 15:15,"fraud_Roberts, Daniel and Macejkovic",kids_pets,14.65,M,NJ,Insurance risk surveyor,0
1/4/19 12:12,fraud_Ernser-Feest,home,24.14,F,KS,Secondary school teacher,0
1/15/19 13:29,"fraud_Wuckert, Wintheiser and Friesen",home,101.43,F,AR,Electrical engineer,0
2/26/19 12:10,fraud_Wisozk and Sons,misc_pos,5.24,F,TX,"Editor, film/video",0
1/24/19 18:46,fraud_Lynch-Wisozk,home,32.11,M,TN,"Journalist, newspaper",0
1/18/19 9:49,fraud_Emard Inc,gas_transport,73.63,F,FL,Historic buildings inspector/conservation officer,0
2/7/19 18:53,fraud_Jacobi Inc,health_fitness,37.65,F,ND,Illustrator,0
2/2/19 19:40,fraud_Volkman PLC,food_dining,17.37,F,PA,Structural engineer,0
2/18/19 3:18,"fraud_Heller, Gutmann and Zieme",grocery_pos,115.37,F,ND,Industrial/product designer,0
1/28/19 12:37,fraud_Kovacek Ltd,travel,431.53,M,SD,"Designer, industrial/product",0
2/10/19 18:44,fraud_Powlowski-Weimann,food_dining,39.74,F,MN,Fisheries officer,0
2/11/19 15:46,fraud_Gottlieb-Hansen,personal_care,8.03,M,WA,Clothing/textile technologist,0
2/11/19 9:06,"fraud_Moen, Reinger and Murphy",grocery_pos,106.47,M,OR,Economist,0
1/17/19 8:14,fraud_Mraz-Herzog,gas_transport,86.09,F,IA,Geochemist,0
1/30/19 22:49,fraud_Morissette-Schaefer,personal_care,118.47,F,MD,Regulatory affairs officer,0
1/14/19 22:58,"fraud_Prosacco, Kreiger and Kovacek",home,75.2,M,OH,Accounting technician,0
2/26/19 17:18,fraud_Bahringer-Streich,food_dining,89.6,F,CO,Water engineer,0
1/23/19 19:10,fraud_Jacobi and Sons,shopping_pos,1.84,F,MO,Tax inspector,0
1/27/19 14:37,fraud_Spencer-Runolfsson,misc_pos,308.04,F,CA,Civil Service fast streamer,0
1/4/19 12:48,fraud_Kris-Padberg,shopping_pos,272.33,F,NY,Psychotherapist,0
2/9/19 7:08,fraud_Will Ltd,food_dining,247.04,M,DC,"Optician, dispensing",0
1/21/19 14:51,fraud_Pouros-Haag,shopping_pos,763.86,M,FL,Town planner,0
2/6/19 17:56,"fraud_Haley, Batz and Auer",health_fitness,33.44,M,TX,Exhibition designer,0
2/26/19 23:13,fraud_Price Inc,shopping_net,70.66,F,NY,Chartered loss adjuster,0
1/4/19 4:35,fraud_Roob LLC,grocery_net,59.43,M,FL,Sport and exercise psychologist,0
2/13/19 11:59,fraud_Schamberger-O'Keefe,grocery_pos,71.82,M,TX,Probation officer,0
2/3/19 9:15,fraud_Towne LLC,misc_pos,30.96,M,NH,Naval architect,0
2/20/19 14:05,"fraud_Roberts, Ryan and Smith",personal_care,1.33,M,LA,"Engineer, petroleum",0
1/7/19 14:15,fraud_Wilkinson PLC,kids_pets,7.84,M,TX,Web designer,0
1/21/19 3:58,fraud_McGlynn-Heathcote,misc_net,729.1,F,OH,Hospital doctor,1
2/12/19 7:40,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,3.48,M,ID,Cartographer,0
1/12/19 23:12,"fraud_Cole, Hills and Jewess",home,264.35,F,ME,Financial trader,1
2/4/19 20:18,fraud_Pollich LLC,home,88.19,F,ME,Animal nutritionist,0
2/7/19 14:35,fraud_Windler LLC,kids_pets,97.71,F,MN,Analytical chemist,0
2/15/19 2:07,fraud_Bernhard Inc,gas_transport,60.16,F,TX,Radio producer,0
2/19/19 4:59,fraud_Schmitt Ltd,misc_net,2.49,F,OR,Planning and development surveyor,0
2/11/19 2:18,fraud_Cole PLC,grocery_pos,51.24,M,NM,Historic buildings inspector/conservation officer,0
1/24/19 2:38,fraud_Kuhic Inc,grocery_pos,63.4,F,AL,Ceramics designer,0
2/17/19 4:09,fraud_Wilkinson Ltd,entertainment,13.6,F,OK,Bookseller,0
1/8/19 15:22,fraud_Kutch-Wilderman,home,85.69,F,NC,English as a second language teacher,0
2/24/19 8:52,fraud_Hackett-Lueilwitz,grocery_pos,89.05,F,WA,"Research officer, political party",0
1/8/19 16:00,fraud_Beier and Sons,home,2.03,M,KS,"Librarian, public",0
2/11/19 22:47,fraud_Gaylord-Powlowski,home,45.14,F,OK,Bookseller,0
2/3/19 1:46,fraud_Stoltenberg-Beatty,shopping_pos,922.1,F,ND,Film/video editor,1
1/18/19 9:54,fraud_Hermann and Sons,shopping_pos,4.26,F,CA,Science writer,0
2/5/19 10:05,fraud_Kilback LLC,grocery_pos,107.43,F,ND,Visual merchandiser,0
2/5/19 12:18,fraud_Little-Gleichner,travel,6.59,F,MO,Cytogeneticist,0
1/31/19 15:59,"fraud_Streich, Dietrich and Barton",shopping_net,8.21,M,TX,"Librarian, public",0
2/4/19 17:18,fraud_Cartwright PLC,kids_pets,41.92,M,PA,Gaffer,0
2/16/19 16:16,fraud_Johns Inc,entertainment,95.64,M,PA,Nutritional therapist,0
2/5/19 18:15,fraud_Torphy-Kertzmann,health_fitness,44.44,M,MO,Town planner,0
1/25/19 2:38,fraud_DuBuque LLC,grocery_pos,107.92,M,PA,Garment/textile technologist,0
1/17/19 22:46,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,1020.79,M,SD,Multimedia programmer,1
2/26/19 16:42,fraud_Schmeler-Howe,personal_care,184.47,M,AR,Careers information officer,0
1/20/19 20:50,fraud_Bernier and Sons,kids_pets,35.69,F,PA,Systems developer,0
2/8/19 13:55,fraud_Bartoletti and Sons,personal_care,12.69,M,IA,"Embryologist, clinical",0
1/21/19 23:32,fraud_Kihn-Fritsch,food_dining,169.62,M,AL,Radio broadcast assistant,0
1/7/19 20:58,"fraud_Cronin, Kshlerin and Weber",health_fitness,14.43,M,SC,Materials engineer,0
1/3/19 18:40,"fraud_Douglas, Schneider and Turner",shopping_pos,3.08,F,WV,Statistician,0
1/15/19 20:35,fraud_Crona and Sons,kids_pets,132.45,F,TN,Prison officer,0
2/5/19 12:33,"fraud_Konopelski, Schneider and Hartmann",food_dining,56.71,F,MO,Investment analyst,0
1/23/19 11:24,fraud_Parisian and Sons,gas_transport,81.58,M,TX,"Education officer, museum",0
1/27/19 2:26,"fraud_Olson, Becker and Koch",gas_transport,80.59,M,PA,"Copywriter, advertising",0
1/14/19 0:37,fraud_Parisian and Sons,gas_transport,12.57,F,CA,Science writer,1
1/20/19 15:21,fraud_Lynch-Mohr,travel,3.11,F,IL,Race relations officer,0
1/14/19 22:56,fraud_Altenwerth-Kilback,home,249.87,F,AL,"Surveyor, land/geomatics",1
1/12/19 1:53,fraud_Schamberger-O'Keefe,grocery_pos,288.41,M,PA,Event organiser,1
2/11/19 14:36,fraud_Little Ltd,kids_pets,27.93,F,KS,Arboriculturist,0
2/20/19 3:54,fraud_Auer-Mosciski,grocery_pos,189.59,F,TX,IT trainer,0
1/22/19 18:57,fraud_Erdman-Durgan,health_fitness,22.65,M,OH,Barrister's clerk,0
1/26/19 7:24,fraud_Bailey-Morar,grocery_pos,198.92,F,MS,Fine artist,0
2/25/19 13:07,"fraud_Bahringer, Osinski and Block",food_dining,72.87,F,SD,"Development worker, international aid",0
2/12/19 23:08,fraud_Crooks and Sons,personal_care,20.98,F,NC,English as a second language teacher,1
1/10/19 2:28,fraud_Bauch-Raynor,grocery_pos,50.58,M,TX,Probation officer,0
2/4/19 15:14,fraud_Kirlin and Sons,personal_care,5.34,F,ND,"Designer, ceramics/pottery",0
2/14/19 17:02,fraud_Herman Inc,misc_pos,2.07,F,IL,"Scientist, research (physical sciences)",0
2/25/19 23:53,fraud_Kunde-Sanford,misc_net,741.78,F,NE,Set designer,1
2/4/19 22:35,"fraud_Lockman, West and Runte",grocery_pos,297.47,M,TX,Petroleum engineer,1
1/13/19 5:53,fraud_Smith-Stokes,misc_pos,3.58,M,VT,Scientific laboratory technician,0
2/12/19 0:53,fraud_Leannon-Ward,food_dining,213.74,M,MO,"Teacher, early years/pre",0
2/12/19 8:13,fraud_Huels-Hahn,gas_transport,51.87,M,NE,"Nurse, mental health",0
2/12/19 8:53,fraud_Hills-Witting,shopping_net,171.8,F,MO,"Investment banker, corporate",0
1/20/19 20:55,"fraud_Langworth, Boehm and Gulgowski",shopping_net,137.29,F,AL,"Surveyor, land/geomatics",0
2/23/19 11:44,fraud_Hackett-Lueilwitz,grocery_pos,41.61,M,MO,Land/geomatics surveyor,0
1/19/19 18:50,fraud_Labadie LLC,personal_care,27.53,F,AR,"Scientist, audiological",0
1/28/19 1:04,fraud_Maggio-Fahey,misc_pos,40.9,M,MO,Glass blower/designer,0
2/11/19 14:11,fraud_Schaefer Ltd,kids_pets,221.99,F,NJ,"Engineer, control and instrumentation",0
2/5/19 19:32,fraud_Kutch-Wilderman,home,49.25,F,NM,"Surveyor, land/geomatics",0
1/15/19 16:31,fraud_Kutch-Wilderman,home,91.51,M,MN,Chief Strategy Officer,0
1/13/19 0:31,fraud_Morar Inc,grocery_net,121.51,F,AL,Chemical engineer,0
1/29/19 2:08,fraud_McDermott-Weimann,grocery_pos,102.35,M,IN,Financial adviser,0
2/3/19 18:57,fraud_Jakubowski Inc,home,19.76,F,TX,Sub,0
1/31/19 15:07,"fraud_Dare, Casper and Bartoletti",kids_pets,121.96,M,MD,Science writer,0
1/14/19 14:36,fraud_Kub PLC,personal_care,22.2,F,NC,"Psychologist, counselling",0
1/7/19 14:34,"fraud_Walter, Hettinger and Kessler",personal_care,27.08,F,NE,Telecommunications researcher,0
1/26/19 23:11,fraud_Swift PLC,kids_pets,59.52,M,NH,Structural engineer,0
2/14/19 23:11,"fraud_Metz, Russel and Metz",kids_pets,57.06,F,SD,Financial adviser,0
1/28/19 20:07,"fraud_Hagenes, Kohler and Hoppe",food_dining,175.65,F,ND,"Designer, ceramics/pottery",0
1/26/19 17:20,fraud_Kertzmann LLC,health_fitness,86.35,M,IL,"Psychologist, clinical",0
1/20/19 9:13,fraud_Fisher-Schowalter,shopping_net,242.48,M,NY,Heritage manager,0
1/29/19 19:34,fraud_Schiller Ltd,personal_care,7.17,M,MT,"Engineer, drilling",0
1/13/19 11:38,fraud_Hills-Witting,shopping_net,22.44,F,AL,Exercise physiologist,0
2/15/19 18:14,"fraud_Bahringer, Schoen and Corkery",shopping_pos,96.44,F,FL,Environmental consultant,0
1/8/19 10:50,fraud_Gleason-Macejkovic,shopping_net,92.35,M,PA,Dealer,0
1/11/19 7:41,fraud_Eichmann-Russel,misc_pos,60.42,F,WI,Logistics and distribution manager,0
2/1/19 1:42,fraud_Gislason Group,misc_pos,35.74,M,PA,Communications engineer,0
1/3/19 1:15,fraud_Pouros-Haag,shopping_pos,1.08,F,MS,Trading standards officer,0
1/28/19 13:32,fraud_Breitenberg-Hermiston,kids_pets,13.78,F,GA,Prison officer,0
1/1/19 1:02,fraud_VonRueden Group,grocery_net,89.35,F,MI,"Exhibitions officer, museum/gallery",0
2/5/19 12:11,fraud_Lubowitz-Walter,kids_pets,43.4,F,NC,English as a second language teacher,0
2/3/19 1:43,fraud_Kuphal-Predovic,misc_net,1.33,F,OR,"Engineer, petroleum",0
2/13/19 23:06,fraud_Breitenberg-Hermiston,kids_pets,68.24,F,OH,Field trials officer,0
1/14/19 14:31,fraud_Effertz LLC,entertainment,68.04,M,VA,Dance movement psychotherapist,0
2/5/19 17:50,fraud_Morissette PLC,shopping_pos,8.94,M,MN,Chemical engineer,0
2/1/19 4:02,fraud_Murray-Smitham,grocery_pos,36.08,M,TX,Site engineer,0
2/17/19 20:18,fraud_Howe PLC,entertainment,108.83,M,NY,Heritage manager,0
2/10/19 15:52,fraud_Hackett-Lueilwitz,grocery_pos,55.4,F,PA,"Scientist, research (maths)",0
2/8/19 13:39,"fraud_Moore, Williamson and Emmerich",home,1.85,M,NM,Historic buildings inspector/conservation officer,0
1/6/19 15:17,fraud_Torp-Lemke,misc_pos,5.39,M,NJ,Drilling engineer,0
2/6/19 14:57,fraud_Dooley-Thompson,misc_net,26.67,F,FL,Television production assistant,0
2/17/19 2:21,fraud_Thiel PLC,misc_pos,232.22,F,OH,Medical sales representative,0
2/7/19 17:46,fraud_Fahey Inc,kids_pets,3.08,F,MO,Agricultural consultant,0
1/5/19 17:05,fraud_Lind-Buckridge,entertainment,5.76,F,MO,Architect,0
1/17/19 21:03,fraud_Beier-Hyatt,shopping_pos,2.43,F,MO,Investment analyst,0
1/3/19 16:02,fraud_Hickle Group,shopping_pos,1287.18,F,OK,Barrister,0
1/28/19 6:09,fraud_Dach-Nader,misc_net,157.61,M,NE,Television/film/video producer,0
2/28/19 22:00,fraud_Schiller Ltd,personal_care,49.17,M,WV,Special effects artist,1
2/25/19 19:32,fraud_Padberg-Sauer,home,77.56,M,NY,Toxicologist,0
2/20/19 19:09,fraud_Heller PLC,health_fitness,9.75,F,PA,Operations geologist,0
1/8/19 11:04,fraud_Kuhn LLC,shopping_pos,150.27,F,NY,Acupuncturist,0
3/1/19 16:05,fraud_Dickinson Ltd,personal_care,20.25,F,NY,Psychotherapist,0
2/1/19 10:48,"fraud_Streich, Hansen and Veum",gas_transport,32.58,F,TX,"Editor, film/video",0
1/7/19 3:40,fraud_Auer-West,shopping_net,96.75,M,KY,"Psychologist, forensic",0
2/26/19 1:43,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,13.86,F,WA,Osteopath,0
1/15/19 23:51,fraud_Schuppe-Schuppe,food_dining,64.74,F,WI,Logistics and distribution manager,0
2/8/19 18:42,"fraud_Gottlieb, Considine and Schultz",shopping_net,8.86,F,MO,Tax inspector,0
1/16/19 4:06,fraud_Dicki Ltd,grocery_net,71.49,F,CA,"Teacher, adult education",0
2/28/19 14:22,"fraud_Schneider, Hayes and Nikolaus",food_dining,7.39,M,CA,Firefighter,0
2/23/19 1:47,"fraud_Lehner, Reichert and Mills",misc_pos,8.5,M,NC,Retail buyer,0
1/28/19 21:18,fraud_Cormier LLC,shopping_net,7.93,F,TX,Press sub,0
1/28/19 15:54,fraud_Tillman LLC,travel,8.65,M,MS,"Librarian, academic",0
2/17/19 23:28,"fraud_Hintz, Bauch and Smith",health_fitness,175.9,M,KS,Heritage manager,0
2/24/19 8:04,fraud_Koss and Sons,gas_transport,95.34,M,OH,Copy,0
2/10/19 1:08,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,52.14,M,NY,TEFL teacher,0
2/12/19 5:55,"fraud_Lind, Huel and McClure",gas_transport,8.45,M,MN,Freight forwarder,1
1/17/19 0:19,"fraud_Jenkins, Hauck and Friesen",gas_transport,60.98,F,TX,Corporate investment banker,0
1/10/19 22:48,fraud_Thiel-Thiel,entertainment,1.08,F,OK,Research scientist (life sciences),0
1/25/19 9:50,fraud_Block-Parisian,misc_net,50.76,F,UT,Futures trader,0
2/28/19 16:50,fraud_Prosacco LLC,personal_care,146.3,F,MS,Fine artist,0
1/20/19 13:16,"fraud_Nicolas, Hills and McGlynn",entertainment,72.88,M,TN,Clothing/textile technologist,0
1/26/19 19:48,fraud_Eichmann-Kilback,home,47.62,F,PA,Operations geologist,0
1/24/19 11:38,fraud_Kutch-Hegmann,grocery_net,36.75,F,NC,Toxicologist,0
2/16/19 0:07,fraud_Turner and Sons,shopping_pos,1.25,F,FL,Waste management officer,0
2/17/19 5:31,fraud_Huels-Hahn,gas_transport,43.73,M,IN,Biomedical engineer,0
2/12/19 19:02,fraud_Wilkinson PLC,kids_pets,50.02,F,IN,Financial adviser,0
1/26/19 13:45,fraud_Cormier LLC,health_fitness,73.1,M,TX,Petroleum engineer,0
1/13/19 0:05,"fraud_Cremin, Hamill and Reichel",misc_pos,18.42,F,KS,Chief Executive Officer,0
2/28/19 14:55,"fraud_Kutch, Steuber and Gerhold",food_dining,19.97,F,OK,Seismic interpreter,0
1/18/19 19:54,fraud_Auer-Mosciski,grocery_pos,78.5,M,TX,"Librarian, public",0
2/18/19 2:14,fraud_Durgan-Auer,misc_net,17.48,F,WA,Special educational needs teacher,0
1/17/19 16:05,fraud_Altenwerth-Kilback,home,152.38,M,IA,Community pharmacist,0
1/8/19 9:04,"fraud_Kuhic, Bins and Pfeffer",shopping_net,1.06,F,MO,Agricultural consultant,0
2/26/19 11:09,"fraud_Connelly, Reichert and Fritsch",gas_transport,78.36,F,NY,Chartered loss adjuster,0
2/12/19 5:42,fraud_McCullough Group,grocery_net,42.98,M,MO,Tourist information centre manager,0
1/12/19 0:09,fraud_Roob LLC,grocery_net,75.56,F,NC,English as a second language teacher,0
2/1/19 19:48,fraud_Lubowitz-Walter,kids_pets,21.23,F,MN,Economist,1
2/12/19 22:03,"fraud_Medhurst, Labadie and Gottlieb",travel,6.23,M,CA,Advertising account planner,0
1/1/19 23:50,fraud_Goyette-Herzog,travel,7.27,M,TN,"Geologist, wellsite",0
1/7/19 8:59,fraud_Roob LLC,grocery_net,40.76,M,MN,Land/geomatics surveyor,0
2/14/19 2:03,"fraud_Streich, Hansen and Veum",gas_transport,59.4,F,WI,Applications developer,0
2/10/19 2:07,"fraud_Robel, Cummerata and Prosacco",gas_transport,57.84,M,AL,Curator,0
1/12/19 23:23,fraud_Skiles LLC,home,8.59,F,SD,"Development worker, international aid",0
1/28/19 16:57,fraud_Bahringer Group,health_fitness,1.59,F,IN,"Psychologist, forensic",0
1/16/19 12:29,fraud_Flatley Group,misc_pos,9.22,M,AL,Radio broadcast assistant,0
1/28/19 23:09,fraud_Nienow PLC,entertainment,36.2,F,IN,Counsellor,0
2/5/19 10:35,fraud_Cormier LLC,shopping_net,4.36,F,PA,Pension scheme manager,0
2/21/19 1:23,fraud_Bartoletti-Wunsch,gas_transport,77.81,M,GA,Claims inspector/assessor,0
